div_id,ticker,shares_owned,div_per_share,payment_date,notes
SCHD-2024-09-25,SCHD,122.0,0.251667,2024-09-25,synced from yfinance
SCHD-2024-12-11,SCHD,122.0,0.265,2024-12-11,synced from yfinance
SCHD-2025-03-26,SCHD,122.0,0.249,2025-03-26,synced from yfinance
SCHD-2025-06-25,SCHD,122.0,0.26,2025-06-25,synced from yfinance
SCHD-2025-09-24,SCHD,122.0,0.26,2025-09-24,synced from yfinance
SCHD-2025-12-10,SCHD,122.0,0.278,2025-12-10,synced from yfinance
SCHD-2026-03-25,SCHD,122.0,0.257,2026-03-25,synced from yfinance
SCHD-2026-06-24,SCHD,122.0,0.253,2026-06-24,synced from yfinance
HSY-2024-11-18,HSY,1.0298,1.37,2024-11-18,synced from yfinance
HSY-2025-02-14,HSY,1.0298,1.37,2025-02-14,synced from yfinance
HSY-2025-05-16,HSY,1.0298,1.37,2025-05-16,synced from yfinance
HSY-2025-08-15,HSY,1.0298,1.37,2025-08-15,synced from yfinance
HSY-2025-11-17,HSY,1.0298,1.37,2025-11-17,synced from yfinance
HSY-2026-02-17,HSY,1.0298,1.452,2026-02-17,synced from yfinance
HSY-2026-05-15,HSY,1.0298,1.452,2026-05-15,synced from yfinance
HSY-2026-08-14,HSY,1.0298,1.452,2026-08-14,synced from yfinance
