trade_id,ticker,opt_type,strike,premium_per_share,contracts,open_date,expiration_date,status,close_date,closing_debit_per_share,notes,rolled_from_trade_id
55e3b6d5,FIG,CC,26.0,0.11,1,2026-09-13,2026-09-18,open,,,,
d0982f50,FIG,CC,31.5,0.26,1,2026-08-28,2026-09-04,expired_worthless,,,,
39e5f9e7,FIG,CC,27.5,0.22,1,2026-08-17,2026-08-21,expired_worthless,,,,
324ba20f,SPCE,CC,5.0,0.05,1,2026-08-04,2026-09-04,expired_worthless,,,,
326ddd18,FIG,CC,30.0,1.05,1,2026-07-28,2026-09-14,expired_worthless,,,,
9c20b7f5,FIG,CC,26.0,0.18,1,2026-06-16,2026-07-10,expired_worthless,,,,
71e6e2e6,FIG,CC,26.0,0.05,1,2026-06-08,2026-06-12,expired_worthless,,,,
9f4f6915,FIG,CC,26.5,1.01,1,2026-06-01,2026-06-05,expired_worthless,,,,
ad00f9d1,SPCE,CC,9.0,2.05,1,2026-06-01,2026-06-18,expired_worthless,,,,
084fe6d7,SPCE,CC,9.0,0.0,1,2026-06-01,2026-06-19,expired_worthless,,,,
