div_id,ticker,shares_owned,div_per_share,payment_date,notes
MSFT-2025-11-20,MSFT,0.8528089999999999,0.91,2025-11-20,synced from yfinance
MSFT-2026-02-19,MSFT,0.8528089999999999,0.91,2026-02-19,synced from yfinance
MSFT-2026-05-21,MSFT,0.8528089999999999,0.91,2026-05-21,synced from yfinance
MSFT-2026-08-20,MSFT,0.8528089999999999,0.91,2026-08-20,synced from yfinance
VIG-2025-09-29,VIG,1.485217,0.865,2025-09-29,synced from yfinance
VIG-2025-12-22,VIG,1.485217,0.884,2025-12-22,synced from yfinance
VIG-2026-03-27,VIG,1.485217,0.833,2026-03-27,synced from yfinance
VIG-2026-06-26,VIG,1.485217,0.999,2026-06-26,synced from yfinance
GOOG-2025-09-08,GOOG,1.393892,0.21,2025-09-08,synced from yfinance
GOOG-2025-12-08,GOOG,1.393892,0.21,2025-12-08,synced from yfinance
GOOG-2026-03-09,GOOG,1.393892,0.21,2026-03-09,synced from yfinance
GOOG-2026-06-08,GOOG,1.393892,0.22,2026-06-08,synced from yfinance
GOOG-2026-09-04,GOOG,1.393892,0.22,2026-09-04,synced from yfinance
NVDA-2025-09-11,NVDA,2.228371,0.01,2025-09-11,synced from yfinance
NVDA-2025-12-04,NVDA,2.228371,0.01,2025-12-04,synced from yfinance
NVDA-2026-03-11,NVDA,2.228371,0.01,2026-03-11,synced from yfinance
NVDA-2026-06-04,NVDA,2.228371,0.25,2026-06-04,synced from yfinance
NVDA-2026-09-10,NVDA,2.228371,0.25,2026-09-10,synced from yfinance
V-2025-11-12,V,0.27330899999999997,0.67,2025-11-12,synced from yfinance
V-2026-02-10,V,0.27330899999999997,0.67,2026-02-10,synced from yfinance
V-2026-05-12,V,0.27330899999999997,0.67,2026-05-12,synced from yfinance
V-2026-08-11,V,0.27330899999999997,0.67,2026-08-11,synced from yfinance
COST-2025-10-31,COST,0.623091,1.3,2025-10-31,synced from yfinance
COST-2026-01-30,COST,0.623091,1.3,2026-01-30,synced from yfinance
COST-2026-05-01,COST,0.623091,1.47,2026-05-01,synced from yfinance
COST-2026-07-24,COST,0.623091,1.47,2026-07-24,synced from yfinance
AXP-2025-10-10,AXP,0.017152999999999998,0.82,2025-10-10,synced from yfinance
AXP-2026-01-02,AXP,0.017152999999999998,0.82,2026-01-02,synced from yfinance
AXP-2026-04-02,AXP,0.017152999999999998,0.95,2026-04-02,synced from yfinance
AXP-2026-07-02,AXP,0.017152999999999998,0.95,2026-07-02,synced from yfinance
SPYM-2025-09-26,SPYM,10.802359,0.238,2025-09-26,synced from yfinance
SPYM-2025-12-26,SPYM,10.802359,0.238,2025-12-26,synced from yfinance
SPYM-2026-03-13,SPYM,10.802359,0.194,2026-03-13,synced from yfinance
SPYM-2026-06-12,SPYM,10.802359,0.239,2026-06-12,synced from yfinance
SPYM-2026-09-11,SPYM,10.802359,0.239,2026-09-11,synced from yfinance
MS-2025-10-31,MS,1.825156,1.0,2025-10-31,synced from yfinance
MS-2026-01-30,MS,1.825156,1.0,2026-01-30,synced from yfinance
MS-2026-04-30,MS,1.825156,1.0,2026-04-30,synced from yfinance
MS-2026-07-31,MS,1.825156,1.15,2026-07-31,synced from yfinance
GS-2025-12-02,GS,0.36095000000000005,4.0,2025-12-02,synced from yfinance
GS-2026-03-02,GS,0.36095000000000005,4.5,2026-03-02,synced from yfinance
GS-2026-06-01,GS,0.36095000000000005,4.5,2026-06-01,synced from yfinance
GS-2026-09-01,GS,0.36095000000000005,5.0,2026-09-01,synced from yfinance
MA-2025-10-09,MA,1.004292,0.76,2025-10-09,synced from yfinance
MA-2026-01-09,MA,1.004292,0.87,2026-01-09,synced from yfinance
MA-2026-04-09,MA,1.004292,0.87,2026-04-09,synced from yfinance
MA-2026-07-09,MA,1.004292,0.87,2026-07-09,synced from yfinance
KLAC-2025-11-17,KLAC,0.6033700000000001,0.19,2025-11-17,synced from yfinance
KLAC-2026-02-17,KLAC,0.6033700000000001,0.19,2026-02-17,synced from yfinance
KLAC-2026-05-18,KLAC,0.6033700000000001,0.23,2026-05-18,synced from yfinance
KLAC-2026-08-17,KLAC,0.6033700000000001,0.23,2026-08-17,synced from yfinance
MDLZ-2025-09-30,MDLZ,5.261299,0.5,2025-09-30,synced from yfinance
MDLZ-2025-12-31,MDLZ,5.261299,0.5,2025-12-31,synced from yfinance
MDLZ-2026-03-31,MDLZ,5.261299,0.5,2026-03-31,synced from yfinance
MDLZ-2026-06-30,MDLZ,5.261299,0.5,2026-06-30,synced from yfinance
PG-2025-10-24,PG,1.463089,1.057,2025-10-24,synced from yfinance
PG-2026-01-23,PG,1.463089,1.057,2026-01-23,synced from yfinance
PG-2026-04-24,PG,1.463089,1.089,2026-04-24,synced from yfinance
PG-2026-07-24,PG,1.463089,1.089,2026-07-24,synced from yfinance
