div_id,ticker,shares_owned,div_per_share,payment_date,notes
ARCC-2025-09-15,ARCC,33.286,0.48,2025-09-15,synced from yfinance
ARCC-2025-12-15,ARCC,33.286,0.48,2025-12-15,synced from yfinance
ARCC-2026-03-13,ARCC,33.286,0.48,2026-03-13,synced from yfinance
ARCC-2026-06-15,ARCC,33.286,0.48,2026-06-15,synced from yfinance
ARCC-2026-09-15,ARCC,33.286,0.48,2026-09-15,synced from yfinance
MSFT-2025-11-20,MSFT,0.317,0.91,2025-11-20,synced from yfinance
MSFT-2026-02-19,MSFT,0.317,0.91,2026-02-19,synced from yfinance
MSFT-2026-05-21,MSFT,0.317,0.91,2026-05-21,synced from yfinance
MSFT-2026-08-20,MSFT,0.317,0.91,2026-08-20,synced from yfinance
O-2025-09-02,O,11.255,0.269,2025-09-02,synced from yfinance
O-2025-10-01,O,11.255,0.27,2025-10-01,synced from yfinance
O-2025-10-31,O,11.255,0.27,2025-10-31,synced from yfinance
O-2025-11-28,O,11.255,0.27,2025-11-28,synced from yfinance
O-2025-12-31,O,11.255,0.27,2025-12-31,synced from yfinance
O-2026-01-30,O,11.255,0.27,2026-01-30,synced from yfinance
O-2026-02-27,O,11.255,0.27,2026-02-27,synced from yfinance
O-2026-03-31,O,11.255,0.271,2026-03-31,synced from yfinance
O-2026-04-30,O,11.255,0.271,2026-04-30,synced from yfinance
O-2026-05-29,O,11.255,0.271,2026-05-29,synced from yfinance
O-2026-06-30,O,11.255,0.271,2026-06-30,synced from yfinance
O-2026-07-31,O,11.255,0.271,2026-07-31,synced from yfinance
O-2026-08-31,O,11.255,0.271,2026-08-31,synced from yfinance
SCHD-2025-09-24,SCHD,136.391,0.26,2025-09-24,synced from yfinance
SCHD-2025-12-10,SCHD,136.391,0.278,2025-12-10,synced from yfinance
SCHD-2026-03-25,SCHD,136.391,0.257,2026-03-25,synced from yfinance
SCHD-2026-06-24,SCHD,136.391,0.253,2026-06-24,synced from yfinance
VIG-2026-03-27,VIG,5.548,0.833,2026-03-27,synced from yfinance
VIG-2026-06-26,VIG,5.548,0.999,2026-06-26,synced from yfinance
